week_start,week_end,channel,spend,leads,qualified_leads,new_customers,attributed_revenue,cpl,cac,lead_to_sale_rate,roas,efficiency_score,quality_score,scale_score,total_score,notes
2025-05-01,2025-05-07,meta,41075,231,1,0,,177.81,,0,,100,0,77,59.2,Spend-split proxy for paid; organic from HubSpot fuente
2025-05-01,2025-05-07,google,12200,68,,0,,179.41,,0,,100,0,22.7,45.7,Spend-split proxy for paid; organic from HubSpot fuente
2025-05-01,2025-05-07,organic,0,5,,0,,,,0,,,0,1.7,,Organic = redes + búsqueda orgánica
2025-05-08,2025-05-14,meta,41253,164,2,0,,251.54,,0,,81,0,54.7,46.1,Spend-split proxy for paid; organic from HubSpot fuente
2025-05-08,2025-05-14,google,16715,67,,0,,249.48,,0,,81.7,0,22.3,38.3,Spend-split proxy for paid; organic from HubSpot fuente
2025-05-08,2025-05-14,organic,0,6,,0,,,,0,,,0,2,,Organic = redes + búsqueda orgánica
2025-05-15,2025-05-21,meta,40573,180,0,1,,225.41,40573,0.005556,,90.4,2.8,60,52.1,Spend-split proxy for paid; organic from HubSpot fuente
2025-05-15,2025-05-21,google,16985,75,,0,,226.47,,0,,90,0,25,42.2,Spend-split proxy for paid; organic from HubSpot fuente
2025-05-15,2025-05-21,organic,0,1,,0,,,,0,,,0,0.3,,Organic = redes + búsqueda orgánica
2025-05-22,2025-05-28,meta,40336,173,0,1,,233.16,40336,0.00578,,87.4,2.9,57.7,50.4,Spend-split proxy for paid; organic from HubSpot fuente
2025-05-22,2025-05-28,google,16987,73,,1,,232.7,16987,0.013699,,87.6,6.8,24.3,43.5,Spend-split proxy for paid; organic from HubSpot fuente
2025-05-22,2025-05-28,organic,0,4,,0,,,,0,,,0,1.3,,Organic = redes + búsqueda orgánica
2025-05-29,2025-06-04,meta,38304,155,4,1,,247.12,38304,0.006452,,82.5,3.2,51.7,47,Spend-split proxy for paid; organic from HubSpot fuente
2025-05-29,2025-06-04,google,16144,65,,0,,248.37,,0,,82,0,21.7,38.2,Spend-split proxy for paid; organic from HubSpot fuente
2025-05-29,2025-06-04,organic,0,10,,0,,,,0,,,0,3.3,,Organic = redes + búsqueda orgánica
2025-06-05,2025-06-11,meta,45929,184,1,0,,249.61,,0,,81.6,0,61.3,48,Spend-split proxy for paid; organic from HubSpot fuente
2025-06-05,2025-06-11,google,15745,63,,0,,249.92,,0,,81.5,0,21,37.9,Spend-split proxy for paid; organic from HubSpot fuente
2025-06-05,2025-06-11,organic,0,7,,0,,,,0,,,0,2.3,,Organic = redes + búsqueda orgánica
2025-06-12,2025-06-18,meta,42146,211,1,2,,199.74,21073,0.009479,,100,4.7,70.3,59.2,Spend-split proxy for paid; organic from HubSpot fuente
2025-06-12,2025-06-18,google,15923,80,,1,,199.04,15923,0.0125,,100,6.2,26.7,48.8,Spend-split proxy for paid; organic from HubSpot fuente
2025-06-12,2025-06-18,organic,0,8,,0,,,,0,,,0,2.7,,Organic = redes + búsqueda orgánica
2025-06-19,2025-06-25,meta,41165,192,0,1,,214.4,41165,0.005208,,95,2.6,64,54.9,Spend-split proxy for paid; organic from HubSpot fuente
2025-06-19,2025-06-25,google,14641,68,,1,,215.31,14641,0.014706,,94.6,7.4,22.7,46.1,Spend-split proxy for paid; organic from HubSpot fuente
2025-06-19,2025-06-25,organic,0,6,,0,,,,0,,,0,2,,Organic = redes + búsqueda orgánica
2025-06-26,2025-07-02,meta,38761,194,7,0,,199.8,,0,,100,0,64.7,56.2,Spend-split proxy for paid; organic from HubSpot fuente
2025-06-26,2025-07-02,google,14616,73,,0,,200.22,,0,,100,0,24.3,46.1,Spend-split proxy for paid; organic from HubSpot fuente
2025-06-26,2025-07-02,organic,0,7,,0,,,,0,,,0,2.3,,Organic = redes + búsqueda orgánica
2025-07-03,2025-07-09,meta,41799,153,8,1,,273.2,41799,0.006536,,74.6,3.3,51,43.7,Spend-split proxy for paid; organic from HubSpot fuente
2025-07-03,2025-07-09,google,15287,56,,1,,272.98,15287,0.017857,,74.7,8.9,18.7,37.7,Spend-split proxy for paid; organic from HubSpot fuente
2025-07-03,2025-07-09,organic,0,8,,0,,,,0,,,0,2.7,,Organic = redes + búsqueda orgánica
2025-07-10,2025-07-16,meta,41223,209,14,1,,197.24,41223,0.004785,,100,2.4,69.7,58.3,Spend-split proxy for paid; organic from HubSpot fuente
2025-07-10,2025-07-16,google,14296,73,,0,,195.84,,0,,100,0,24.3,46.1,Spend-split proxy for paid; organic from HubSpot fuente
2025-07-10,2025-07-16,organic,0,10,,0,,,,0,,,0,3.3,,Organic = redes + búsqueda orgánica
2025-07-17,2025-07-23,meta,42108,217,6,1,,194.05,42108,0.004608,,100,2.3,72.3,58.9,Spend-split proxy for paid; organic from HubSpot fuente
2025-07-17,2025-07-23,google,12378,64,,0,,193.41,,0,,100,0,21.3,45.3,Spend-split proxy for paid; organic from HubSpot fuente
2025-07-17,2025-07-23,organic,0,11,,0,,,,0,,,0,3.7,,Organic = redes + búsqueda orgánica
2025-07-24,2025-07-30,meta,40217,189,2,1,,212.79,40217,0.005291,,95.8,2.6,63,55,Spend-split proxy for paid; organic from HubSpot fuente
2025-07-24,2025-07-30,google,12054,56,,0,,215.25,,0,,94.7,0,18.7,42.6,Spend-split proxy for paid; organic from HubSpot fuente
2025-07-24,2025-07-30,organic,0,7,,0,,,,0,,,0,2.3,,Organic = redes + búsqueda orgánica
2025-07-31,2025-08-06,meta,34256,153,5,1,,223.9,34256,0.006536,,91,3.3,51,50.3,Spend-split proxy for paid; organic from HubSpot fuente
2025-07-31,2025-08-06,google,12935,58,,0,,223.02,,0,,91.4,0,19.3,41.4,Spend-split proxy for paid; organic from HubSpot fuente
2025-07-31,2025-08-06,organic,0,5,,0,,,,0,,,0,1.7,,Organic = redes + búsqueda orgánica
2025-08-07,2025-08-13,meta,36035,151,4,3,,238.64,12011.67,0.019868,,85.4,9.9,50.3,50.2,Spend-split proxy for paid; organic from HubSpot fuente
2025-08-07,2025-08-13,google,14927,62,,1,,240.76,14927,0.016129,,84.6,8.1,20.7,41.8,Spend-split proxy for paid; organic from HubSpot fuente
2025-08-07,2025-08-13,organic,0,8,,0,,,,0,,,0,2.7,,Organic = redes + búsqueda orgánica
