week_start,week_end,total_paid_spend,total_leads,new_customers,attributed_revenue,cpl,cac,lead_to_sale_rate,roas,closing_velocity_days,notes
2025-05-01,2025-05-07,53275,304,0,,175.25,,0,,,Cohort Sem 01 (01 M… HubSpot CRM + weekly paid spend
2025-05-08,2025-05-14,57968,237,0,,244.59,,0,,,Cohort Sem 02 (08 M… HubSpot CRM + weekly paid spend
2025-05-15,2025-05-21,57558,256,1,,224.84,57558,0.003906,,,Cohort Sem 03 (15 M… HubSpot CRM + weekly paid spend
2025-05-22,2025-05-28,57323,250,2,,229.29,28661.5,0.008,,,Cohort Sem 04 (22 M… HubSpot CRM + weekly paid spend
2025-05-29,2025-06-04,54448,230,1,,236.73,54448,0.004348,,,Cohort Sem 05 (29 M… HubSpot CRM + weekly paid spend
2025-06-05,2025-06-11,61674,254,0,,242.81,,0,,,Cohort Sem 06 (05 J… HubSpot CRM + weekly paid spend
2025-06-12,2025-06-18,58069,299,3,,194.21,19356.33,0.010033,,,Cohort Sem 07 (12 J… HubSpot CRM + weekly paid spend
2025-06-19,2025-06-25,55806,266,2,,209.8,27903,0.007519,,,Cohort Sem 08 (19 J… HubSpot CRM + weekly paid spend
2025-06-26,2025-07-02,53377,274,0,,194.81,,0,,,Cohort Sem 09 (26 J… HubSpot CRM + weekly paid spend
2025-07-03,2025-07-09,57086,217,2,,263.07,28543,0.009217,,,Cohort Sem 10 (03 J… HubSpot CRM + weekly paid spend
2025-07-10,2025-07-16,55519,292,1,,190.13,55519,0.003425,,,Cohort Sem 11 (10 J… HubSpot CRM + weekly paid spend
2025-07-17,2025-07-23,54486,292,1,,186.6,54486,0.003425,,,Cohort Sem 12 (17 J… HubSpot CRM + weekly paid spend
2025-07-24,2025-07-30,52271,252,1,,207.42,52271,0.003968,,,Cohort Sem 13 (24 J… HubSpot CRM + weekly paid spend
2025-07-31,2025-08-06,47191,216,1,,218.48,47191,0.00463,,,Cohort Sem 14 (31 J… HubSpot CRM + weekly paid spend
